"","id","country","name","lon","lat","temp","feels_like","temp_min","temp_max","pressure","humidity","speed","all","visibility","continent"
"1",350789,"EG","Qalyub",31.21,30.18,17.36,11.26,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"2",355795,"EG","Halwan",31.3,29.84,17.36,11.26,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"3",356933,"EG","Farshut",32.16,26.05,19.46,13.52,19,20,1017,37,24.12,0,10,"AFRIQUE"
"4",356945,"EG","Faraskur",31.72,31.33,17,12.42,17,17,1016,59,22.32,40,10,"AFRIQUE"
"5",356989,"EG","Faqus",31.8,30.73,17,10.16,17,17,1016,51,31.32,40,10,"AFRIQUE"
"6",358095,"EG","Diyarb Najm",31.44,30.75,17.35,11.25,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"7",358108,"EG","Disuq",30.65,31.13,18,11.44,18,18,1017,52,31.32,40,10,"AFRIQUE"
"8",358115,"EG","Dishna",32.48,26.12,20,16.91,20,20,1017,40,11.16,0,8,"AFRIQUE"
"9",358172,"EG","Dikirnis",31.59,31.09,17,12.42,17,17,1016,59,22.32,40,10,"AFRIQUE"
"10",358269,"EG","Dayrut",30.81,27.56,17,11.88,17,17,1020,45,20.52,0,10,"AFRIQUE"
"11",358274,"EG","Dayr Mawas",30.85,27.64,17,11.88,17,17,1020,45,20.52,0,10,"AFRIQUE"
"12",358970,"EG","Basyun",30.81,30.94,19.15,12.43,19.15,19.15,1015,42,29.772,43,16,"AFRIQUE"
"14",359280,"EG","Banha",31.18,30.46,17.36,11.26,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"15",359576,"EG","Awsim",31.14,30.12,17.36,11.26,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"16",359710,"EG","At Tall al Kabir",31.79,30.54,17.25,11.13,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"18",360542,"EG","Al Qurayn",31.74,30.62,17.25,11.13,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"19",361495,"EG","Al Ayyat",31.26,29.62,17.35,11.25,17,17.78,1017,45,25.92,75,10,"AFRIQUE"
"20",362882,"EG","Abu al Matamir",30.17,30.91,17.03,10.26,16,18,1017,52,31.32,40,10,"AFRIQUE"
"21",464176,"RU","Zavety Il’icha",37.85,56.05,8.96,2.61,8.89,9,1022,49,21.6,20,10,"ASIE"
"22",464737,"RU","Zaponor’ye",38.86,55.64,8.53,2.13,8,9,1022,49,21.6,20,10,"ASIE"
"23",473537,"RU","Vinogradovo",38.55,55.42,8.73,2.35,8,9,1022,49,21.6,20,10,"ASIE"
"26",481725,"RU","Tret’ya Rota",39.68,43.74,8.96,5.86,8.89,9,1017,61,7.2,75,10,"ASIE"
"27",494806,"RU","Sheremetyevskiy",37.49,55.98,8.65,0.27,8,9,1020,52,32.4,20,10,"ASIE"
"29",523523,"RU","Nalchik",43.62,43.5,0,-3.61,0,0,1024,89,7.2,75,10,"ASIE"
"30",524894,"RU","Moskva",37.61,55.76,8.68,0.31,8,9,1020,52,32.4,20,10,"ASIE"
"31",529334,"RU","Mar’ina Roshcha",37.61,55.8,8.67,0.29,8,9,1020,52,32.4,20,10,"ASIE"
"34",569143,"RU","Cherkizovo",37.73,55.8,8.67,0.29,8,9,1020,52,32.4,20,10,"ASIE"
"35",802899,"RU","Mutaykutan",47.66,42.82,5,2.6,5,5,1026,80,3.6,90,10,"ASIE"
"36",803611,"RU","Yurevichi",39.93,43.6,8.96,5.86,8.89,9,1017,61,7.2,75,10,"ASIE"
"37",939702,"ZA","Williston",20.92,-31.34,29.55,21.71,29.55,29.55,1010,5,23.256,0,16,"AFRIQUE"
"40",961935,"ZA","Rietfontein",29.2,-25.5,25.75,22.49,25.75,25.75,1014,39,18.036,32,16,"AFRIQUE"
"42",972803,"ZA","Mtubatuba",32.18,-28.42,28.95,27.39,28.95,28.95,1011,48,19.872,0,16,"AFRIQUE"
"43",973709,"ZA","Mossel Bay",22.15,-34.18,24,21.55,24,24,1013,60,22.32,20,10,"AFRIQUE"
"44",975511,"ZA","Mkuze",32.04,-27.62,28.85,27.85,28.85,28.85,1011,47,16.164,0,16,"AFRIQUE"
"46",980595,"ZA","Mafikeng",25.64,-25.87,23,21.31,23,23,1022,56,14.76,75,10,"AFRIQUE"
"47",984998,"ZA","Ladysmith",29.78,-28.55,31.55,28.42,31.55,31.55,1012,20,11.196,0,16,"AFRIQUE"
"48",988429,"ZA","Koffiefontein",25,-29.41,28.65,25.64,28.65,28.65,1012,34,17.496,0,16,"AFRIQUE"
"49",996195,"ZA","Hoedspruit",30.95,-24.35,29.95,27.83,29.95,29.95,1014,37,16.812,10,16,"AFRIQUE"
"50",996409,"ZA","Himeville",29.51,-29.75,25.05,23.67,25.05,25.05,1012,37,6.408,22,16,"AFRIQUE"
"52",1004962,"ZA","Estcourt",29.87,-29.01,30.15,28.89,30.15,30.15,1012,28,6.192,0,16,"AFRIQUE"
"55",1222396,"MY","Kuah",99.84,6.33,32.01,36.79,30.56,34,1007,70,11.16,20,10,"ASIE"
"56",1732740,"MY","Kampung Seelong",103.7,1.63,29.67,30.92,28.89,30,1009,70,22.32,75,10,"ASIE"
"57",1732811,"MY","Kluang",103.33,2.03,30,34.86,30,30,1008,74,7.56,20,10,"ASIE"
"58",1733449,"MY","Kinarut",116.05,5.82,29.12,33.78,28.89,29.44,1008,79,9.36,20,10,"ASIE"
"59",1734815,"MY","Port Dickson",101.8,2.52,28.57,32.37,26.67,32,1008,83,14.76,40,8,"ASIE"
"61",1735148,"MY","Serendah",101.6,3.36,28,31.45,26.67,29.44,1008,83,14.76,40,8,"ASIE"
"62",1735227,"MY","Kuantan",103.33,3.81,30,33.81,30,30,1008,74,12.96,20,10,"ASIE"
"63",1735268,"MY","Batu Gajah",101.04,4.47,28.61,35.67,25,32,1008,94,5.4,40,9,"ASIE"
"64",1735799,"MY","Simanggang",111.45,1.25,25.84,30.78,25.56,26,1009,88,3.6,75,10,"ASIE"
"66",1737714,"MY","Limbang",115,4.75,28.65,30.82,27.78,29,1009,70,14.76,75,10,"ASIE"
"67",1741562,"MY","Tanjung Sepat",101.56,2.66,27.73,31.02,26.67,29.44,1008,83,14.76,40,8,"ASIE"
"68",1751525,"MY","Pekan Darat",100.4,5.47,31.31,35.76,30.56,32,1007,66,7.56,20,9,"ASIE"
"69",1762251,"MY","Kampong Wakuba",118.12,4.3,30,33.25,30,30,1008,70,12.96,20,10,"ASIE"
"70",1770876,"MY","Kampung Batu Lapan Tiga Suku",103.22,3.77,30,33.81,30,30,1008,74,12.96,20,10,"ASIE"
"71",1782807,"MY","Api Rokok",103.43,4.55,28.96,31.82,28.89,29,1008,74,14.76,20,10,"ASIE"
"72",1848382,"JP","Youkaichi",136.2,35.12,11.8,8.52,10.56,14.44,1015,71,12.96,40,10,"ASIE"
"74",1850144,"JP","Tokyo-to",139.69,35.69,13.67,8.91,11,16,1014,41,14.76,36,10,"ASIE"
"76",1851390,"JP","Susaki",133.28,33.37,14,11.79,14,14,1015,62,7.56,20,10,"ASIE"
"77",1852699,"JP","Senzaki",131.2,34.38,14.36,12.42,13,15,1014,72,9.36,20,10,"ASIE"
"79",1857451,"JP","Matsuzaki",138.78,34.75,11.59,6.76,9.44,13,1014,61,18.36,40,10,"ASIE"
